Location,Date,Temperature,Weather Description,Humidity,Wind Speed,Date_Only
Cambridge,2025-03-22 03:00:00,11.31,light rain,94,5.53,2025-03-22
Cambridge,2025-03-22 06:00:00,10.6,overcast clouds,96,4.23,2025-03-22
Cambridge,2025-03-22 09:00:00,11.54,overcast clouds,91,3.85,2025-03-22
Cambridge,2025-03-22 12:00:00,13.97,light rain,75,5.71,2025-03-22
Cambridge,2025-03-22 15:00:00,14.47,light rain,73,4.15,2025-03-22
Cambridge,2025-03-22 18:00:00,11.77,light rain,88,3.52,2025-03-22
Cambridge,2025-03-22 21:00:00,8.78,overcast clouds,95,3.18,2025-03-22
Cambridge,2025-03-23 00:00:00,9.67,overcast clouds,92,1.92,2025-03-23
Cambridge,2025-03-23 03:00:00,9.54,overcast clouds,93,2.41,2025-03-23
Cambridge,2025-03-23 06:00:00,9.21,overcast clouds,94,3.23,2025-03-23
Cambridge,2025-03-23 09:00:00,9.82,light rain,95,2.45,2025-03-23
Cambridge,2025-03-23 12:00:00,11.2,light rain,91,2.29,2025-03-23
Cambridge,2025-03-23 15:00:00,11.54,overcast clouds,91,2.29,2025-03-23
Cambridge,2025-03-23 18:00:00,10.46,light rain,92,3.06,2025-03-23
Cambridge,2025-03-23 21:00:00,9.14,light rain,95,3.37,2025-03-23
Cambridge,2025-03-24 00:00:00,7.08,light rain,97,3.01,2025-03-24
Cambridge,2025-03-24 03:00:00,6.84,overcast clouds,98,3.36,2025-03-24
Cambridge,2025-03-24 06:00:00,6.74,overcast clouds,95,3.55,2025-03-24
Cambridge,2025-03-24 09:00:00,8.69,overcast clouds,85,5.29,2025-03-24
Cambridge,2025-03-24 12:00:00,10.96,overcast clouds,71,4.9,2025-03-24
Cambridge,2025-03-24 15:00:00,10.43,overcast clouds,69,5.88,2025-03-24
Cambridge,2025-03-24 18:00:00,6.55,broken clouds,81,4.7,2025-03-24
Cambridge,2025-03-24 21:00:00,6.23,broken clouds,74,3.81,2025-03-24
Cambridge,2025-03-25 00:00:00,6.28,broken clouds,72,2.19,2025-03-25
Cambridge,2025-03-25 03:00:00,3.06,few clouds,91,2.48,2025-03-25
Cambridge,2025-03-25 06:00:00,2.6,few clouds,92,1.66,2025-03-25
Cambridge,2025-03-25 09:00:00,7.67,few clouds,76,2.31,2025-03-25
Cambridge,2025-03-25 12:00:00,11.47,few clouds,65,2.93,2025-03-25
Bristol,2025-03-20 15:00:00,17.76,few clouds,61,5.31,2025-03-20
Bristol,2025-03-20 18:00:00,13.95,few clouds,73,4.65,2025-03-20
Bristol,2025-03-20 21:00:00,9.07,broken clouds,89,3.94,2025-03-20
Bristol,2025-03-21 00:00:00,8.91,overcast clouds,92,3.92,2025-03-21
Bristol,2025-03-21 03:00:00,9.49,overcast clouds,91,3.41,2025-03-21
Bristol,2025-03-21 06:00:00,9.11,overcast clouds,89,4.33,2025-03-21
Bristol,2025-03-21 09:00:00,11.7,overcast clouds,81,4.22,2025-03-21
Bristol,2025-03-21 12:00:00,14.5,overcast clouds,71,6.11,2025-03-21
